"collection","collection_begin","collection_end","period","period_begin","period_end"
"https://w3id.org/artchives/collectionfototeca-fahy","1965","2018","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","1985","2015","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","1943","2003","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","1985","2015","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q6955","1801","1900"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","1931","1960","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionluigi-salerno-research-papers","1948","1996","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","1937","1949","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionjohn-popehennessy-papers","1617","1995","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-ulrich-middeldorf","1957","1968","http://www.wikidata.org/entity/Q8683","1947","1991"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q7015","1700","1800"
"https://w3id.org/artchives/collectionnachlass-wolfgang-lotz","1936","1981","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionfondo-aby-warburg","1903","1927","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q7015","1700","1800"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","1985","2015","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionnachlass-wolfgang-lotz","1936","1981","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionluigi-salerno-research-papers","1948","1996","http://www.wikidata.org/entity/Q7015","1700","1800"
"https://w3id.org/artchives/collectionnachlass-wolfgang-lotz","1936","1981","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q37068","1800","1900"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionluigi-salerno-research-papers","1948","1996","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectiongustav-ludwigvermachtnis","1903","1905","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","1937","1949","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionleo-steinberg-research-papers","1945","1996","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","1985","2015","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionfototeca-fahy","1965","2018","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectiongustav-ludwigvermachtnis","1903","1905","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionnachlass-richard-krautheimer","1943","2003","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionfototeca-julian-kliemann","1985","2015","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-wolfgang-lotz","1936","1981","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionfototeca-fahy","1965","2018","http://www.wikidata.org/entity/Q7034","1301","1400"
"https://w3id.org/artchives/collectionnachlass-ernst-steinmann","1912","1992","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionellis-k-waterhouse-notebooks-and-research-files","1801","1987","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionernst-kitzinger-papers-","1931","1995","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionnachlass-cornelius-von-fabriczy","1888","1910","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionjohn-popehennessy-papers","1617","1995","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionfototeca-zeri","1947","1998","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-kurt-badt","1937","1949","http://www.wikidata.org/entity/Q37853","1590","1750"
"https://w3id.org/artchives/collectionarchivio-luisa-vertova","1960","2018","http://www.wikidata.org/entity/Q14378","1770","1840"
"https://w3id.org/artchives/collectionnachlass-otto-lehmannbrockhaus","1906","1999","http://www.wikidata.org/entity/Q12554","0476","1500"
"https://w3id.org/artchives/collectionjulius-s-held-papers","1918","1999","http://www.wikidata.org/entity/Q7016","1601","1700"
"https://w3id.org/artchives/collectionfototeca-stefano-tumidei","1984","2007","http://www.wikidata.org/entity/Q14378","1770","1840"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionnachlass-werner-cohn","1931","1960","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","1925","1970","http://www.wikidata.org/entity/Q7018","1401","1500"
"https://w3id.org/artchives/collectionulrich-middledorf-papers","1925","1981","http://www.wikidata.org/entity/Q4692","1400","1650"
"https://w3id.org/artchives/collectionjulius-s-held-papers","1918","1999","http://www.wikidata.org/entity/Q7017","1501","1600"
"https://w3id.org/artchives/collectionfototeca-fahy","1965","2018","http://www.wikidata.org/entity/Q7017","1501","1600"
